 	رده:انجمن سرطان آمریکا	Category:American_Cancer_Society	American_Cancer_Society
 	رده:سازمان آمریکایی موسیقی‌دانان	Category:American_Federation_of_Musicians	American_Federation_of_Musicians
 	رده:انجمن پرستاران آمریکا	Category:American_Nurses_Association	American_Nurses_Association
 	رده:دانشگاه آمریکایی علم و صنعت	Category:American_University_of_Science_and_Technology	American_University_of_Science_and_Technology
 	رده:مرکز پژوهشی ایمز	Category:Ames_Research_Center	Ames_Research_Center
 	رده:امرست، نیوهمپشایر	Category:Amherst,_New_Hampshire	Amherst,_New_Hampshire
 	رده:شاخ‌قوچیان	Category:Ammonitina	Ammonitina
 	رده:نیلک	Category:Amorpha	Amorpha
 	رده:متروی آمستردام	Category:Amsterdam_Metro	Amsterdam_Metro
 	رده:سفر اکتشافی آمونسن به قطب جنوب	Category:Amundsen's_South_Pole_expedition	Amundsen's_South_Pole_expedition
 	رده:رود آمور	Category:Amur_River	Amur_River
 	رده:اموراسیوکا راین	Category:Amvrosiivka_Raion	Amvrosiivka_Raion
 	رده:ایمی شومر	Category:Amy_Schumer	Amy_Schumer
 	رده:آمیگدال	Category:Amygdala	Amygdala
 	رده:دانشگاه ملی النجاح	Category:An-Najah_National_University	An-Najah_National_University
 	رده:آناهیتا	Category:Anahita	Anahita
 	رده:اناموسا، آیووا	Category:Anamosa,_Iowa	Anamosa,_Iowa
 	رده:فمینیسم اقتدارگریز	Category:Anarcha-feminism	Anarcha-feminism
 	رده:گرگ‌ماهیان	Category:Anarhichadidae	Anarhichadidae
 	رده:انکاد	Category:Ancud	Ancud
 	رده:خمیده‌شاخیان	Category:Ancyloceratina	Ancyloceratina
 	رده:آندرئا مانتنیا	Category:Andrea_Mantegna	Andrea_Mantegna
 	رده:اندرو وایت	Category:Andrew_Wyeth	Andrew_Wyeth
 	رده:اندروید (ربات)	Category:Android_(robot)	Android_(robot)
 	رده:اندی برنهم	Category:Andy_Burnham	Andy_Burnham
 	رده:باشگاه فوتبال آنژه	Category:Angers_SCO	Angers_SCO
 	رده:جنگ انگلیس و اسپانیا (۱۶۰۴–۱۵۸۵)	Category:Anglo-Spanish_War_(1585–1604)	Anglo-Spanish_War_(1585–1604)
 	رده:تیم ملی بسکتبال آنگولا	Category:Angola_national_basketball_team	Angola_national_basketball_team
 	رده:آهنگران	Category:Angren,_Uzbekistan	Angren,_Uzbekistan
 	رده:شهرستان آنگول	Category:Angul_district	Angul_district
 	رده:قانون جانوران	Category:Animal_law	Animal_law
 	رده:آزمایش بر پستانداران غیرانسان	Category:Animal_testing_on_non-human_primates	Animal_testing_on_non-human_primates
 	رده:پشه‌های چوب	Category:Anisopodidae	Anisopodidae
 	رده:آنیتا برایانت	Category:Anita_Bryant	Anita_Bryant
 	رده:آنیتا (خواننده)	Category:Anitta_(singer)	Anitta_(singer)
 	رده:آنکانگ	Category:Ankang	Ankang
 	رده:عنکاوا	Category:Ankawa	Ankawa
 	رده:آنکلام	Category:Anklam	Anklam
 	رده:انمور	Category:Anmore	Anmore
 	رده:آنا سویی	Category:Anna_Sui	Anna_Sui
 	رده:اناندیل-روی-هادسون	Category:Annandale-on-Hudson,_New_York	Annandale-on-Hudson,_New_York
 	رده:پس از میلاد (مجموعه بازی)	Category:Anno_(series)	Anno_(series)
 	رده:ماهیان چشم‌چراغی	Category:Anomalopidae	Anomalopidae
 	رده:پری‌میگو	Category:Anostraca	Anostraca
 	رده:آنسباخ	Category:Ansbach	Ansbach
 	رده:انشان	Category:Anshan_(Persia)	Anshan_(Persia)
 	رده:سوسک‌های مورچه‌ای	Category:Anthicidae	Anthicidae
 	رده:شبگزهای گل	Category:Anthocoridae	Anthocoridae
 	رده:آنتونی بزرگ	Category:Anthony_the_Great	Anthony_the_Great
 	رده:روس‌هراسی	Category:Anti-Russian_sentiment	Anti-Russian_sentiment
 	رده:رنگینک‌های کلاه‌خودی	Category:Antilophia	Antilophia
 	رده:شاخ‌درازها	Category:Antilopini	Antilopini
 	رده:تولدستیزی	Category:Antinatalism	Antinatalism
 	رده:انتیپلو	Category:Antipolo	Antipolo
 	رده:آنتونی فان لیوونهوک	Category:Antonie_van_Leeuwenhoek	Antonie_van_Leeuwenhoek
 	رده:آنتونیو گرامشی	Category:Antonio_Gramsci	Antonio_Gramsci
 	رده:انورسا دلی ابروتسی	Category:Anversa_degli_Abruzzi	Anversa_degli_Abruzzi
 	رده:آنزوژم	Category:Anzegem	Anzegem
 	رده:آپاتین	Category:Apatin	Apatin
 	رده:آپاکسکو	Category:Apaxco	Apaxco
 	رده:جیجاق‌های خاشاک	Category:Aphelocoma	Aphelocoma
 	رده:زنبوردرمانی	Category:Apitherapy	Apitherapy
 	رده:ساده‌جامه‌ها	Category:Aplochiton	Aplochiton
 	رده:بی‌لوله‌پاچگان	Category:Apodida	Apodida
 	رده:آپولو ۱	Category:Apollo_1	Apollo_1
 	رده:آپولو ۱۰	Category:Apollo_10	Apollo_10
 	رده:آپولو ۱۲	Category:Apollo_12	Apollo_12
 	رده:آپولو ۱۳	Category:Apollo_13	Apollo_13
 	رده:آپولو ۱۴	Category:Apollo_14	Apollo_14
 	رده:مدیریت آپولو	Category:Apollo_Global_Management	Apollo_Global_Management
 	رده:پروژه آزمایشی آپولو–سایوز	Category:Apollo–Soyuz_Test_Project	Apollo–Soyuz_Test_Project
 	رده:آپینگه‌دام	Category:Appingedam	Appingedam
 	رده:زردآلو (میوه)	Category:Apricot	Apricot
 	رده:باشگاه فوتبال ۲۵ آوریل	Category:April_25_Sports_Club	April_25_Sports_Club
 	رده:آرا 	Category:Ara	Ara
 	رده:جنبش ملی‌گرای عرب	Category:Arab_Nationalist_Movement	Arab_Nationalist_Movement
 	رده:انقلاب بزرگ عربی	Category:Arab_Revolt	Arab_Revolt
 	رده:عنکبوتی‌شناسی	Category:Arachnology	Arachnology
 	رده:آربیتراژ	Category:Arbitrage	Arbitrage
 	رده:باستان‌گیاهیان	Category:Archaeplastida	Archaeplastida
 	رده:آرچر (سریال)	Category:Archer_(TV_series)	Archer_(TV_series)
 	رده:آرچی	Category:Archi,_Abruzzo	Archi,_Abruzzo
 	رده:خرس‌سرها	Category:Arctocephalus	Arctocephalus
 	رده:تیم ملی بسکتبال آرژانتین	Category:Argentina_national_basketball_team	Argentina_national_basketball_team
 	رده:آریان‌اسپیس	Category:Arianespace	Arianespace
 	رده:آرجیت سینگ	Category:Arijit_Singh	Arijit_Singh
 	رده:کاپیتول ایالت آرکانزاس	Category:Arkansas_State_Capitol	Arkansas_State_Capitol
 	رده:آرلا فودز	Category:Arla_Foods	Arla_Foods
 	رده:آرمانیاک	Category:Armagnac	Armagnac
 	رده:آرمین ون بورن	Category:Armin_van_Buuren	Armin_van_Buuren
 	رده:آرمینیوس	Category:Arminius	Arminius
 	رده:ارتش جمهوری صرب بوسنی	Category:Army_of_Republika_Srpska	Army_of_Republika_Srpska
 	رده:ارتش جمهوری بوسنی و هرزگوین	Category:Army_of_the_Republic_of_Bosnia_and_Herzegovina	Army_of_the_Republic_of_Bosnia_and_Herzegovina
 	رده:آرنسدورف	Category:Arnsdorf	Arnsdorf
 	رده:منطقه عرتا	Category:Arta_Region	Arta_Region
 	رده:اردشیر دوم (هخامنشی)	Category:Artaxerxes_II_of_Persia	Artaxerxes_II_of_Persia
 	رده:آرتور سالیوان	Category:Arthur_Sullivan	Arthur_Sullivan
 	رده:اصل اول قانون اساسی ایالات متحده آمریکا	Category:Article_One_of_the_United_States_Constitution	Article_One_of_the_United_States_Constitution
 	رده:اصل دوم قانون اساسی ایالات متحده آمریکا	Category:Article_Two_of_the_United_States_Constitution	Article_Two_of_the_United_States_Constitution
 	رده:ول‌های آب‌دوست	Category:Arvicola	Arvicola
 	رده:اشفورد، ساری	Category:Ashford,_Surrey	Ashford,_Surrey
 	رده:باشگاه فوتبال اشفورد تاون	Category:Ashford_Town_(Middlesex)_F.C.	Ashford_Town_(Middlesex)_F.C.
 	رده:باشگاه فوتبال اشینگتون	Category:Ashington_A.F.C.	Ashington_A.F.C.
 	رده:آشلند، ویسکانسین	Category:Ashland,_Wisconsin	Ashland,_Wisconsin
 	رده:آشوکا	Category:Ashoka	Ashoka
 	رده:آشتاراک	Category:Ashtarak	Ashtarak
 	رده:بانک سرمایه‌گذاری زیربنایی آسیا	Category:Asian_Infrastructure_Investment_Bank	Asian_Infrastructure_Investment_Bank
 	رده:کنفدراسیون والیبال آسیا	Category:Asian_Volleyball_Confederation	Asian_Volleyball_Confederation
 	رده:بازی‌های پاراآسیایی جوانان	Category:Asian_Youth_Para_Games	Asian_Youth_Para_Games
 	رده:آسیمینا	Category:Asimina	Asimina
 	رده:آسکر	Category:Asker	Asker
 	رده:اسپن هیل، مریلند	Category:Aspen_Hill,_Maryland	Aspen_Hill,_Maryland
 	رده:آسفالت (مجموعه بازی)	Category:Asphalt_(series)	Asphalt_(series)
 	رده:ترور ماهاتما گاندی	Category:Assassination_of_Mahatma_Gandhi	Assassination_of_Mahatma_Gandhi
 	رده:اسنود	Category:Assenede	Assenede
 	رده:مدیریت دارایی	Category:Asset_management	Asset_management
 	رده:باشگاه فوتبال آکادمیکا	Category:Associação_Académica_de_Coimbra_–_O.A.F.	Associação_Académica_de_Coimbra_–_O.A.F.
 	رده:باشگاه فوتبال شاپه‌کوئنزه	Category:Associação_Chapecoense_de_Futebol	Associação_Chapecoense_de_Futebol
 	رده:تیم آستانه	Category:Astana_Pro_Team	Astana_Pro_Team
 	رده:استلاس	Category:Astellas_Pharma	Astellas_Pharma
 	رده:ستاره‌زیان	Category:Asterozoa	Asterozoa
 	رده:آستورگا	Category:Astorga,_Spain	Astorga,_Spain
 	رده:خط آسترام	Category:Astram_Line	Astram_Line
 	رده:آسوکا، نارا	Category:Asuka,_Nara	Asuka,_Nara
 	رده:آسورا	Category:Asura_(moth)	Asura_(moth)
 	رده:آتکا، ساراگوسا	Category:Ateca	Ateca
 	رده:عنکبوتی‌میمونیان	Category:Atelinae	Atelinae
 	رده:ناتمام‌بینی‌ها	Category:Atelomycterus	Atelomycterus
 	رده:اتن‌رای	Category:Athenry	Athenry
